distance,x,y,z,U_x,U_y,U_z,k,omega
0.08475,2.5,-0.16525,1.21431e-17,0.373675,-0.0141206,3.17778e-20,0.0146946,5.99343
0.0855,2.5,-0.1645,1.04083e-17,0.374884,-0.0142365,2.96491e-20,0.0147459,5.99446
0.08625,2.5,-0.16375,1.04083e-17,0.376094,-0.0143524,2.75204e-20,0.0147972,5.9955
0.087,2.5,-0.163,6.93889e-18,0.377303,-0.0144683,2.53917e-20,0.0148485,5.99653
0.08775,2.5,-0.16225,3.46945e-18,0.378512,-0.0145842,2.32629e-20,0.0148998,5.99757
0.0885,2.5,-0.1615,8.67362e-18,0.379722,-0.0147001,2.11342e-20,0.0149511,5.9986
0.08925,2.5,-0.16075,1.21431e-17,0.380931,-0.0148159,1.90055e-20,0.0150024,5.99964
0.09,2.5,-0.16,1.04083e-17,0.38214,-0.0149318,1.68768e-20,0.0150537,6.00067
0.09075,2.5,-0.15925,1.21431e-17,0.38335,-0.0150477,1.47481e-20,0.015105,6.00171
0.0915,2.5,-0.1585,1.53313e-17,0.384558,-0.0151635,1.26213e-20,0.0151563,6.00274
